id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
30,Quest Princess,Movie,Documentary,None,2017,151,G,English,India,7.5,11115414,9373734,0,0,FALSE,2024-06-10,TRUE
31,Adventure Legend,Movie,Romance,None,2024,129,TV-Y7,English,USA,4.7,11115414,2057069,0,0,FALSE,2022-06-10,FALSE
32,First Queen,TV Series,Crime,None,2000,31,TV-Y7,German,UK,6.3,11115414,64610932.91,3,24,FALSE,2024-02-13,FALSE
33,Kingdom War,Movie,Horror,None,1995,116,TV-MA,Korean,USA,7.3,11115414,64610932.91,0,0,FALSE,2022-06-24,FALSE
34,Dragon Princess,TV Series,War,Horror,2018,48,TV-PG,English,India,7.7,11115414,64610932.91,14,138,TRUE,2023-10-22,TRUE
34,Fire Warrior,TV Series,War,Horror,2018,48,TV-PG,English,India,7.7,11115414,64610932.91,14,138,TRUE,2023-10-22,TRUE
35,Quest Secret,TV Series,Family,Romance,1994,38,TV-PG,English,USA,7.4,11115414,64610932.91,7,62,FALSE,2021-03-01,FALSE
35,Bright Battle,TV Series,Family,Romance,1994,38,TV-PG,English,USA,7.4,11115414,64610932.91,7,62,FALSE,2021-03-01,FALSE
36,Love Kingdom,TV Series,Adventure,Action,2018,61,PG-13,Spanish,Germany,6.5,11115414,64610932.91,10,57,FALSE,2025-04-18,FALSE
37,My Fire,TV Series,Comedy,None,2011,51,TV-G,French,USA,6.3,11115414,64610932.91,5,23,FALSE,2025-05-02,FALSE
38,Family Dragon,Movie,Action,None,1993,98,TV-MA,Korean,USA,5.6,3127772,391629433,0,0,TRUE,2021-06-29,FALSE
39,Fire King,Movie,Mystery,None,2019,80,PG-13,German,USA,7.3,5603605,64610932.91,0,0,FALSE,2022-01-10,FALSE
40,Queen Legend,Movie,War,Music,2005,116,PG-13,Japanese,UK,6.4,1816487,2016406,0,0,FALSE,2023-02-04,FALSE
41,Mission Storm,Documentary,Biography,Sport,2003,83,TV-14,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2023-03-23,FALSE
42,Our Love,Movie,Action,None,2020,452,TV-G,Hindi,India,6.7,2146992,55547817,0,0,TRUE,2024-06-01,FALSE
43,Bright Adventure,Documentary,Family,None,2005,80,PG-13,Spanish,USA,6.3,11115414,64610932.91,0,0,FALSE,2022-12-12,FALSE
43,An War,Documentary,Family,None,2005,80,PG-13,Spanish,USA,6.3,11115414,64610932.91,0,0,FALSE,2022-12-12,FALSE
44,Phoenix Secret,Stand-up Comedy,War,Documentary,1998,379,TV-G,English,USA,5.2,11115414,64610932.91,0,0,FALSE,2023-01-31,FALSE
45,Journey War,Documentary,History,None,2003,92,PG,English,USA,5.4,11115414,64610932.91,0,0,TRUE,2025-02-18,FALSE
46,Mystery Quest,TV Series,Family,None,2002,43,PG-13,English,USA,6.7,11115414,64610932.91,8,113,FALSE,2023-08-15,FALSE
47,Little Night,TV Series,Thriller,None,2008,47,PG,English,Japan,5.4,11115414,64610932.91,9,54,FALSE,2020-12-15,FALSE
48,Story Battle,Movie,Family,None,1994,102,TV-14,Hindi,UK,6.3,93953191,835652471,0,0,FALSE,2024-08-30,FALSE
49,Old City,Movie,Thriller,None,2023,111,NC-17,English,Germany,4.6,629194,2736647,0,0,FALSE,2024-03-03,FALSE
50,Phoenix Hero,TV Series,Biography,None,2015,41,TV-PG,French,USA,6.1,11115414,64610932.91,8,116,FALSE,2023-08-10,FALSE
51,Big Warrior,TV Series,Western,Comedy,1995,52,TV-PG,English,USA,8.0,11115414,64610932.91,12,178,FALSE,2023-09-10,FALSE
52,Empire Kingdom,Movie,Sport,Biography,2002,104,PG-13,Italian,USA,4.9,6117844,16638609,0,0,TRUE,2022-11-01,FALSE
53,Family Battle,Documentary,History,None,2018,90,TV-Y7,English,Canada,4.7,11115414,64610932.91,0,0,FALSE,2022-02-28,FALSE
54,Battle Secret,TV Series,Romance,History,2021,35,TV-MA,English,France,8.8,11115414,64610932.91,7,78,FALSE,2024-11-17,FALSE
55,Day Journey,Movie,Sci-Fi,None,2002,84,G,Italian,India,4.7,6494786,64610932.91,0,0,TRUE,2023-11-21,TRUE
55,Ice Phoenix,Movie,Sci-Fi,None,2002,84,G,Italian,India,4.7,6494786,64610932.91,0,0,TRUE,2023-11-21,TRUE
56,Night King,Movie,Adventure,Comedy,1997,137,TV-Y,English,USA,6.2,3593765,2259750,0,0,TRUE,2021-01-18,FALSE
56,A Secret,Movie,Adventure,Comedy,1997,137,TV-Y,English,USA,6.2,3593765,2259750,0,0,TRUE,2021-01-18,FALSE
57,Adventure Ice,Movie,Biography,None,2017,82,TV-14,Spanish,USA,5.9,4186498,7674756,0,0,TRUE,2021-10-30,FALSE
58,Storm Kingdom,Stand-up Comedy,Drama,None,2020,57,R,English,USA,6.6,11115414,64610932.91,0,0,TRUE,2022-10-16,FALSE
59,Secret King,TV Series,Romance,Sci-Fi,1992,580,TV-14,French,USA,6.3,11115414,64610932.91,4,42,TRUE,2020-08-24,FALSE
60,A Quest,TV Series,Biography,None,1993,44,PG-13,English,USA,4.9,11115414,64610932.91,10,46,FALSE,2024-08-08,FALSE
61,Night Princess,Movie,Drama,None,2017,100,TV-MA,English,UK,6.9,11264097,64610932.91,0,0,FALSE,2021-11-25,FALSE
62,Queen Quest,Movie,Action,None,2012,129,TV-Y,English,USA,4.4,4494260,53848956,0,0,FALSE,2022-08-16,FALSE
63,Empire Legend,Movie,Adventure,None,1997,165,G,Hindi,UK,6.9,1360448,656952,0,0,FALSE,2021-04-22,FALSE
64,Our Journey,Documentary,Animation,Crime,1994,115,TV-PG,Japanese,South Korea,5.8,11115414,64610932.91,0,0,FALSE,2021-07-03,FALSE
65,The Fire,Movie,Sport,None,1991,109,TV-14,Italian,USA,6.3,11397312,32147534,0,0,TRUE,2024-11-16,FALSE
66,First Storm,Movie,Comedy,Romance,2013,104,TV-14,English,Canada,7.9,4687811,26772080,0,0,FALSE,2022-06-24,FALSE
67,A Dragon,TV Series,Crime,None,2005,50,PG,English,USA,6.8,11115414,64610932.91,2,73,FALSE,2023-05-21,FALSE
68,Storm Quest,TV Series,Horror,None,1994,46,R,English,USA,7.5,11115414,64610932.91,5,44,FALSE,2021-10-22,FALSE
69,Adventure Story,TV Series,Documentary,None,2020,42,NC-17,Spanish,South Korea,8.1,11115414,64610932.91,9,6,FALSE,2024-02-13,FALSE
70,Old Night,Documentary,Biography,None,2023,81,R,Hindi,France,6.5,11115414,64610932.91,0,0,FALSE,2022-12-31,TRUE
71,Queen War,TV Series,Music,Sci-Fi,2016,70,TV-MA,English,Canada,6.7,11115414,64610932.91,3,79,TRUE,2024-06-17,FALSE
72,Night King,Limited Series,Sci-Fi,Drama,2015,73,TV-14,French,South Korea,6.3,11115414,64610932.91,14,75,FALSE,2021-06-09,FALSE
73,War House,TV Series,Action,None,2021,42,TV-PG,German,Canada,4.8,11115414,64610932.91,5,121,TRUE,2023-03-24,FALSE
74,Fire House,Movie,Comedy,None,2005,150,PG,English,Canada,6.3,1915176,3628760,0,0,TRUE,2021-11-07,FALSE
75,Storm Mystery,TV Series,Animation,Crime,2016,18,TV-PG,English,USA,6.5,11115414,64610932.91,1,177,FALSE,2023-04-21,TRUE
76,Quest Queen,Movie,Family,Documentary,2023,108,G,English,USA,6.8,20837483,4643156,0,0,TRUE,2023-05-30,FALSE
77,Love Love,TV Series,War,History,2018,26,TV-14,English,USA,6.4,11115414,64610932.91,5,95,TRUE,2024-12-03,FALSE
78,Secret Story,Movie,Fantasy,Mystery,1999,143,NC-17,Hindi,USA,6.3,1035450,64610932.91,0,0,FALSE,2022-03-30,FALSE
79,A Mystery,Movie,War,None,2005,414,TV-G,Hindi,USA,5.9,4204348,24367896,0,0,FALSE,2021-02-07,FALSE
80,Journey Mystery,Movie,Documentary,Documentary,2014,89,TV-Y,English,USA,7.8,5453306,32981493,0,0,FALSE,2022-12-26,FALSE
81,Empire Kingdom,Movie,Documentary,None,2023,119,TV-14,Italian,Japan,7.8,22471820,5603722,0,0,FALSE,2021-06-05,FALSE
82,Last Kingdom,Movie,Western,None,1995,408,TV-MA,German,South Korea,4.6,8461755,173407724,0,0,TRUE,2021-04-14,FALSE
83,Last Dragon,Movie,Sci-Fi,None,2024,101,TV-Y,English,USA,7.0,97100,69320180,0,0,TRUE,2020-08-14,TRUE
84,City Phoenix,Movie,Documentary,Crime,1998,114,PG,English,Germany,6.8,11115414,39250966,0,0,TRUE,2023-09-08,TRUE
85,The Love,Stand-up Comedy,Crime,Crime,2009,44,TV-Y,Korean,USA,5.7,11115414,64610932.91,0,0,FALSE,2024-05-03,TRUE
86,Little War,Documentary,Biography,Family,1998,68,G,English,UK,0.6,11115414,64610932.91,0,0,TRUE,2024-07-11,FALSE
87,Last Day,Movie,Comedy,None,2010,38,PG-13,Italian,USA,6.6,11115414,64610932.91,0,0,FALSE,2021-02-22,TRUE
88,Our Battle,TV Series,Sport,None,1990,63,PG-13,English,Canada,7.2,11115414,64610932.91,4,79,FALSE,2023-03-02,FALSE
88,First Kingdom,TV Series,Sport,None,1990,63,PG-13,English,Canada,7.2,11115414,64610932.91,4,79,FALSE,2023-03-02,FALSE
89,New Dream,Movie,Romance,None,2014,79,TV-Y7,Hindi,Japan,0.9,44425136,16348642,0,0,TRUE,2021-06-07,TRUE
89,Family Day,Movie,Romance,None,2014,79,TV-Y7,Hindi,Japan,0.9,44425136,16348642,0,0,TRUE,2021-06-07,TRUE
90,Last Love,Documentary,Animation,Biography,2003,107,TV-PG,English,USA,8.7,11115414,64610932.91,0,0,FALSE,2021-12-24,TRUE
91,Old House,Documentary,Horror,None,1993,79,PG-13,English,Japan,4.7,11115414,64610932.91,0,0,TRUE,2022-11-24,FALSE
92,Dark Legend,TV Series,War,None,1991,35,PG,English,UK,8.8,11115414,64610932.91,14,62,FALSE,2024-04-23,FALSE
93,Storm Kingdom,Movie,History,Biography,2020,101,R,English,USA,9.7,11115414,41795066,0,0,TRUE,2024-03-31,FALSE
94,Night Secret,Stand-up Comedy,Western,Western,1993,68,TV-Y7,English,USA,5.3,11115414,64610932.91,0,0,FALSE,2021-08-03,FALSE
95,House Legend,TV Series,Fantasy,None,2003,32,TV-MA,English,USA,3.6,11115414,64610932.91,9,76,TRUE,2025-05-06,FALSE
96,Fire Day,Movie,Action,None,2018,105,G,English,UK,4.5,8939550,4931077,0,0,FALSE,2024-06-22,TRUE
97,Queen Dream,Movie,Fantasy,None,2001,102,TV-Y,Hindi,Canada,3.1,2137471,36710118,0,0,FALSE,2021-05-15,FALSE
98,Adventure Dream,Stand-up Comedy,Adventure,None,2001,77,PG-13,English,USA,6.4,11115414,64610932.91,0,0,TRUE,2022-07-27,FALSE
99,Story Phoenix,Documentary,Western,None,2021,110,PG,English,UK,8.3,11115414,64610932.91,0,0,FALSE,2021-07-06,TRUE
100,Storm Legend,Movie,Fantasy,None,1996,99,TV-G,English,Canada,6.0,8590064,64610932.91,0,0,FALSE,2024-07-30,FALSE
101,King Adventure,TV Series,Animation,None,2008,45,TV-MA,English,South Korea,6.9,11115414,64610932.91,3,96,FALSE,2025-07-19,FALSE
102,Secret Mission,TV Series,Comedy,Sci-Fi,2003,32,TV-14,Italian,South Korea,5.1,11115414,64610932.91,6,74,FALSE,2023-08-17,TRUE
103,Big Princess,Stand-up Comedy,Sci-Fi,Action,2017,52,NC-17,Italian,France,8.2,11115414,64610932.91,0,0,FALSE,2024-04-16,FALSE
104,Fire War,Movie,War,Fantasy,2001,107,TV-Y,English,South Korea,6.3,11115414,13208249,0,0,FALSE,2024-11-24,FALSE
105,Secret Mission,Movie,Animation,Adventure,1992,109,TV-MA,Korean,USA,6.3,1354517,3059547,0,0,TRUE,2023-09-28,FALSE
106,Fire Family,Documentary,Animation,Family,1991,89,NC-17,Spanish,South Korea,7.3,11115414,64610932.91,0,0,FALSE,2020-08-25,TRUE
107,Quest Princess,Documentary,Biography,None,2014,87,TV-MA,English,UK,6.1,11115414,64610932.91,0,0,FALSE,2023-03-02,TRUE
108,Old Queen,Movie,Fantasy,None,2000,128,TV-G,Italian,USA,7.8,747506,151826737,0,0,FALSE,2021-03-14,TRUE
109,My Love,Movie,War,None,2023,119,PG-13,English,USA,6.5,2792744,194859508,0,0,FALSE,2022-12-24,FALSE
110,My Journey,Movie,Comedy,Adventure,1998,122,NC-17,English,USA,5.5,3551286,64610932.91,0,0,TRUE,2022-06-03,FALSE
111,Queen Warrior,Movie,Sport,None,1995,106,TV-Y7,English,USA,6.3,770163,3222643,0,0,FALSE,2021-03-12,TRUE
112,War Kingdom,TV Series,Music,Biography,1991,69,R,English,USA,6.3,11115414,64610932.91,2,103,TRUE,2022-01-22,FALSE
113,First Phoenix,Movie,History,None,2022,110,PG-13,French,Germany,5.9,845349,4568753,0,0,FALSE,2020-12-09,TRUE
114,An Fire,TV Series,Animation,Mystery,2008,46,TV-PG,English,India,9.7,11115414,64610932.91,9,48,FALSE,2022-10-24,FALSE
115,Battle Dream,Movie,Crime,None,2021,69,NC-17,English,USA,6.0,18860431,57338013,0,0,TRUE,2021-04-09,FALSE
116,Storm Dream,Documentary,Biography,Documentary,1990,134,TV-14,French,France,4.7,11115414,64610932.91,0,0,FALSE,2024-02-27,TRUE
117,Dark House,Movie,Family,None,2013,109,R,English,USA,5.2,794995,24268353,0,0,TRUE,2022-04-27,TRUE
118,Dragon Storm,Documentary,Sport,None,2014,96,TV-14,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2021-07-14,FALSE
119,Day Warrior,Documentary,Action,Adventure,2019,98,G,Hindi,South Korea,8.5,11115414,64610932.91,0,0,FALSE,2025-07-26,TRUE
120,Legend King,Movie,Mystery,Comedy,2022,152,TV-Y,English,USA,5.2,11115414,22144747,0,0,FALSE,2024-04-21,FALSE
121,Battle Empire,Movie,Mystery,None,2004,113,G,English,USA,6.1,1666756,64610932.91,0,0,FALSE,2022-09-09,FALSE
122,Day Legend,Movie,History,None,2019,125,TV-MA,English,USA,3.9,9321651,5551808,0,0,FALSE,2024-08-01,FALSE
123,City Empire,Movie,Documentary,History,2008,109,R,English,USA,4.5,556402,8920240,0,0,TRUE,2023-04-03,FALSE
124,Warrior Quest,TV Series,Comedy,None,2003,38,TV-Y,English,USA,6.6,11115414,64610932.91,12,14,TRUE,2024-01-14,FALSE
125,War Fire,Movie,Western,Music,2010,105,PG,English,Canada,5.0,16341730,39189864,0,0,TRUE,2022-01-10,FALSE
126,A King,Movie,Sci-Fi,Biography,2003,125,TV-MA,Spanish,USA,7.4,26713214,5582578,0,0,FALSE,2022-12-29,FALSE
127,Big Mission,Documentary,Music,Drama,2016,85,PG,English,USA,4.4,11115414,64610932.91,0,0,FALSE,2024-12-22,FALSE
128,Queen Princess,Limited Series,History,None,2008,58,NC-17,English,Canada,4.9,11115414,64610932.91,2,153,FALSE,2022-03-29,FALSE
129,Adventure Legend,Stand-up Comedy,Sci-Fi,Crime,2000,36,TV-Y7,English,USA,6.3,11115414,64610932.91,0,0,TRUE,2023-10-10,FALSE
130,Princess King,Movie,Action,None,1990,36,NC-17,English,Japan,6.4,10949397,45443003,0,0,FALSE,2020-11-19,FALSE
131,Battle Queen,Movie,Sci-Fi,None,2024,115,TV-Y7,English,USA,6.4,31998338,4303498,0,0,TRUE,2025-04-25,FALSE
132,Dragon Legend,Documentary,Comedy,None,2022,95,TV-PG,Spanish,Japan,7.7,11115414,64610932.91,0,0,FALSE,2021-01-12,FALSE
133,Last Phoenix,Movie,Family,None,1993,97,R,English,USA,7.8,9889659,36933865,0,0,FALSE,2021-12-12,FALSE
134,Dragon Dragon,Stand-up Comedy,Adventure,Animation,1999,52,PG,Spanish,France,7.3,11115414,64610932.91,0,0,FALSE,2023-08-24,FALSE
135,Last Dream,Movie,Western,None,2016,73,TV-G,Japanese,USA,5.3,11115414,196392638,0,0,FALSE,2023-08-10,FALSE
136,Dragon City,Documentary,Adventure,None,2001,404,NC-17,English,Canada,1.0,11115414,64610932.91,0,0,FALSE,2023-05-25,FALSE
137,Adventure Mission,Movie,History,None,2023,106,TV-Y7,English,USA,7.6,992285,84883879,0,0,FALSE,2020-12-26,FALSE
138,Princess Secret,Movie,Biography,Comedy,2024,118,PG,English,Canada,5.6,2785266,20178073,0,0,FALSE,2023-05-29,FALSE
138,City Battle,Movie,Biography,Comedy,2024,118,PG,English,Canada,5.6,2785266,20178073,0,0,FALSE,2023-05-29,FALSE
139,House Legend,Limited Series,Mystery,None,1993,23,TV-G,English,USA,4.4,11115414,64610932.91,2,102,FALSE,2024-05-05,FALSE
140,Bright Love,Documentary,Sport,None,2023,19,TV-14,English,France,5.6,11115414,64610932.91,0,0,FALSE,2025-06-20,FALSE
140,Our Dream,Documentary,Sport,None,2023,19,TV-14,English,France,5.6,11115414,64610932.91,0,0,FALSE,2025-06-20,FALSE
141,The Dream,Movie,Action,Crime,1990,96,PG,Korean,Japan,3.9,11115414,351613,0,0,FALSE,2024-10-30,TRUE
142,Love Fire,Limited Series,Western,None,2018,71,TV-Y7,English,UK,6.3,11115414,64610932.91,14,169,FALSE,2021-02-26,TRUE
143,Warrior Legend,Movie,Biography,None,2006,143,NC-17,German,Germany,5.0,792013,5298432,0,0,TRUE,2022-12-28,FALSE
144,Family Queen,TV Series,Comedy,None,2013,37,TV-14,Korean,India,9.4,11115414,64610932.91,11,42,TRUE,2020-12-07,FALSE
145,City Empire,TV Series,Thriller,Sci-Fi,1990,40,G,English,UK,8.4,11115414,64610932.91,10,197,TRUE,2024-03-09,FALSE
146,Mission Fire,Movie,War,None,2014,79,PG-13,English,USA,4.4,11115414,64610932.91,0,0,FALSE,2024-11-22,FALSE
147,Big Hero,Documentary,Action,None,1996,34,G,Japanese,UK,3.9,11115414,64610932.91,0,0,FALSE,2023-02-11,FALSE
147,Quest Hero,Documentary,Action,None,1996,34,G,Japanese,UK,3.9,11115414,64610932.91,0,0,FALSE,2023-02-11,FALSE
148,Dragon Hero,TV Series,Mystery,None,1997,66,TV-Y7,Spanish,USA,8.9,11115414,64610932.91,1,101,TRUE,2022-07-29,FALSE
149,Phoenix Ice,Documentary,Action,None,2000,364,TV-PG,Spanish,USA,3.0,11115414,64610932.91,0,0,FALSE,2023-09-12,FALSE
150,City Fire,Movie,Adventure,Sport,2013,157,TV-14,English,Japan,8.1,28183154,26250908,0,0,FALSE,2022-12-26,TRUE
151,War Love,Movie,Animation,None,2005,98,TV-Y,English,South Korea,6.2,5071451,235899,0,0,FALSE,2022-12-11,FALSE
151,Secret Legend,Movie,Animation,None,2005,98,TV-Y,English,South Korea,6.2,5071451,235899,0,0,FALSE,2022-12-11,FALSE
152,Queen Adventure,Movie,Documentary,Sport,1991,104,TV-MA,Hindi,USA,3.6,11115414,64610932.91,0,0,FALSE,2020-10-13,FALSE
153,Princess Legend,Movie,Animation,None,2007,148,NC-17,Spanish,USA,7.8,1445488,64610932.91,0,0,TRUE,2024-01-30,FALSE
154,Mystery Secret,TV Series,Sci-Fi,None,1998,19,TV-Y,Italian,UK,5.0,11115414,64610932.91,14,187,TRUE,2024-01-15,FALSE
155,The Mission,Movie,Romance,None,2005,140,TV-Y7,English,USA,6.5,11115414,10889136,0,0,FALSE,2025-07-01,FALSE
156,Dream Warrior,Movie,History,Thriller,2019,111,TV-14,English,France,6.0,19903417,10427828,0,0,TRUE,2023-07-16,FALSE
157,Story Legend,Documentary,Sport,None,2001,77,R,German,USA,10.0,11115414,64610932.91,0,0,FALSE,2022-02-15,FALSE
158,Story City,Documentary,War,None,2019,110,R,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2022-02-27,TRUE
159,Story King,Movie,Drama,Mystery,2001,121,NC-17,Korean,India,7.7,6129856,6244192,0,0,FALSE,2023-01-23,FALSE
160,Dark Mystery,Movie,Comedy,None,2016,10,R,Italian,Canada,6.6,9355608,738634327,0,0,FALSE,2023-08-19,FALSE
161,Day Queen,Movie,Western,None,1993,97,TV-Y,English,Germany,6.5,3405303,894261,0,0,FALSE,2021-02-20,FALSE
162,Storm Warrior,TV Series,Animation,Sci-Fi,2005,40,TV-PG,Spanish,South Korea,5.8,11115414,64610932.91,5,111,FALSE,2021-08-23,FALSE
163,Empire Story,Movie,Comedy,None,2015,85,TV-PG,English,USA,5.7,503735,58761541,0,0,FALSE,2021-01-10,TRUE
164,Big Dragon,Movie,Romance,Western,1995,111,TV-14,English,USA,6.3,2398917,35707634,0,0,FALSE,2021-01-13,FALSE
165,Family Secret,Movie,Action,Sci-Fi,2018,91,G,English,Germany,7.6,456624,82210,0,0,FALSE,2023-11-21,FALSE
166,Storm Family,TV Series,Western,None,2012,66,TV-G,English,USA,3.3,11115414,64610932.91,10,54,TRUE,2024-02-03,FALSE
167,Mystery City,TV Series,Adventure,None,2010,37,TV-MA,Italian,USA,6.3,11115414,64610932.91,9,178,FALSE,2021-06-26,FALSE
168,A Love,Movie,Crime,Mystery,1997,103,G,English,USA,6.9,5781768,64610932.91,0,0,TRUE,2023-02-13,FALSE
169,Ice Legend,TV Series,Western,None,1998,53,TV-PG,English,Canada,6.9,11115414,64610932.91,13,81,FALSE,2025-01-20,FALSE
170,Dream Family,Movie,Horror,None,1997,537,R,English,South Korea,6.1,431570,6675003,0,0,FALSE,2024-03-10,TRUE
171,Battle Day,Movie,Biography,None,1994,110,TV-14,English,USA,1.4,3768477,11316045,0,0,FALSE,2021-05-21,FALSE
172,Ice Mystery,Movie,Horror,None,1993,94,TV-Y,Spanish,USA,10.0,5064920,11553135,0,0,FALSE,2023-09-10,FALSE
173,Mystery Kingdom,Stand-up Comedy,Sci-Fi,History,2002,58,TV-Y,Hindi,Canada,7.2,11115414,64610932.91,0,0,TRUE,2022-02-04,FALSE
174,New Story,TV Series,Thriller,None,2020,50,TV-Y7,Spanish,France,6.3,11115414,64610932.91,7,78,FALSE,2023-11-06,FALSE
175,My Queen,Movie,Fantasy,None,2002,137,TV-G,German,USA,8.9,365831,64610932.91,0,0,TRUE,2023-07-13,FALSE
176,Dragon Mission,TV Series,Documentary,None,2008,39,TV-Y7,French,USA,4.4,11115414,64610932.91,10,116,TRUE,2022-09-02,FALSE
177,King Legend,Movie,Drama,None,2022,99,PG,Italian,USA,9.1,197326642,5829409,0,0,TRUE,2024-09-21,FALSE
178,Story Night,TV Series,Animation,None,2002,55,G,English,South Korea,5.6,11115414,64610932.91,7,6,FALSE,2023-11-30,FALSE
179,Bright Family,TV Series,Documentary,None,2014,41,TV-PG,Spanish,UK,0.8,11115414,64610932.91,6,20,TRUE,2023-03-30,FALSE
180,A City,TV Series,Action,None,2010,26,G,English,USA,6.5,11115414,64610932.91,1,159,FALSE,2020-11-18,FALSE
181,Adventure Fire,TV Series,Crime,None,2020,43,G,English,UK,7.4,11115414,64610932.91,4,134,FALSE,2023-09-22,FALSE
182,Story Fire,Movie,Thriller,None,1990,125,TV-14,English,USA,5.7,5738797,1406285,0,0,FALSE,2024-10-09,FALSE
183,Adventure Love,TV Series,Music,Romance,1999,42,G,English,USA,6.3,11115414,64610932.91,14,85,TRUE,2024-05-04,FALSE
184,A Adventure,Documentary,Documentary,None,2000,84,PG-13,English,USA,7.3,11115414,64610932.91,0,0,TRUE,2021-06-26,FALSE
185,Kingdom Day,Documentary,History,None,2020,83,TV-G,English,USA,7.4,11115414,64610932.91,0,0,FALSE,2023-04-29,FALSE
